concept_id,concepticon_id,label,pos,semantic_field,definition,status,replacement_id,notes
act-bore,1501,bore,v,Basic actions and technology,To create a hole by removing material with a drill.,active,,
act-bottom-grindstone,3023,bottom grindstone,n,Basic actions and technology,The bottom element in a two-stone grindstone.,active,,
act-bow-string,2119,bow string,n,Basic actions and technology,The string of a bow used to hunt.,active,,
act-braid,3295,braid,v,Basic actions and technology,"To braid together hair, threads, strings, twigs etc. in order to create a larger string-like object (which can be linear as in a braid of hair or circular as in a wreath).",active,,
act-braid-verb-or-weave,3294,braid (verb) or weave,v,Basic actions and technology,"To braid together hair, threads, strings, twigs etc. in order to create a larger string-like object or to weave a basket or use similar techniques for creating other objects.",active,,
act-brass,3743,brass,n,Basic actions and technology,A yellow-colored metal made of the mixture of copper and zinc and used in the making of decorations and musical instruments.,active,,
act-brawl,3301,brawl,v,Basic actions and technology,A normally unarmed and ruleless scuffle.,active,,
act-brawl-fight,2902,brawl,v,Basic actions and technology,To be involved in a normally unarmed and ruleless scuffle.,active,,
act-break-breaking,3020,break,v,Basic actions and technology,To come apart or split into pieces (intransitive).,active,,
act-break-cleave,2558,break,v,Basic actions and technology,To divide something with force in two or more parts.,active,,
act-break-destroy-or-get-destroyed,680,break,v,Basic actions and technology,To divide or be divided into pieces and thereby damaged.,active,,
act-break-of-rope,460,break,v,Basic actions and technology,The breaking of a thread or strap.,active,,
act-broken,588,broken,adj,Basic actions and technology,Not capable of working or broken into pieces.,active,,
act-broken-not-working,3190,broken,adj,Basic actions and technology,Not capable of working.,active,,
act-broken-shattered,3191,broken,adj,Basic actions and technology,Broken into pieces.,active,,
act-broom,245,broom,n,Basic actions and technology,"A tool used to sweep and clean the floor, made of a bundle of straws or twigs attached to a long handle.",active,,
act-bucket,2052,bucket,n,Basic actions and technology,"Typically a watertight, vertical cylinder or truncated cone, with an open top and a flat bottom, attached to a semicircular carrying handle called the bail.",active,,
act-build,1840,build,v,Basic actions and technology,To form by combining materials or parts.,active,,
act-bundle,2943,bundle,n,Basic actions and technology,A group of things fastened together.,active,,
act-burn,2102,burn,v,Basic actions and technology,To put fire on something or to be on fire.,active,,
act-burp,2789,burp,v,Basic actions and technology,To release gas from the digestive tract through the mouth.,active,,
act-bury,1719,bury,v,Basic actions and technology,To put in the ground and cover with earth.,active,,
act-bushfire,2811,bushfire,n,Basic actions and technology,An uncontrolled fire in a wooded or grassy area.,active,,
act-by,2751,by,x,Basic actions and technology,Marker of the agent in a passive sentence.,active,,
act-campfire,2986,campfire,n,Basic actions and technology,"A campfire is a fire at a campsite that provides light and warmth, and heat for cooking.",active,,
act-careful,2758,careful,adj,Basic actions and technology,Be cautious.,active,,
act-carpenter,1042,carpenter,n,Basic actions and technology,Artisan who works with wood.,active,,
act-carry,3438,carry,v,Basic actions and technology,The act of transporting something by means of a carrying pole placed on one's shoulder.,active,,
act-carry-horizontally,2763,carry horizontally,v,Basic actions and technology,To carry some object horizontally.,active,,
act-carve,228,carve,v,Basic actions and technology,To cut or to chip in order to form something.,active,,
act-cast,211,cast,v,Basic actions and technology,"To pour [a hardenable liquid material, like metal, plaster, glass, concrete etc.] into a mold in order to produce a solid object of the shape of the mold.",active,,
act-catty,2647,catty,clf,Basic actions and technology,"A traditional Chinese unit of mass used across East and Southeast Asia, notably for weighing food and other groceries in some wet markets, street markets, and shops.",active,,
act-cause-to,2896,cause to,v,Basic actions and technology,To allow or cause somebody to do something.,active,,
act-cease-or-finish,2115,cease or finish,v,Basic actions and technology,"To stop doing something, voluntarily or involuntarily.",active,,
act-chain,1627,chain,n,Basic actions and technology,A series of interlocked rings or links forming a flexible length.,active,,
act-chalk,4130,chalk,n,Basic actions and technology,"A soft white or pale limestone composed mainly of calcium carbonate, commonly used for writing, marking, or drawing on surfaces.",active,,
act-chat,2903,chat,v,Basic actions and technology,To have a conversation with somebody.,active,,
act-chisel,1979,chisel,n,Basic actions and technology,A tool with a cutting edge at the end.,active,,
act-chop,155,chop,v,Basic actions and technology,"To chop wood, or to chop meat, vegetables etc. into small pieces.",active,,
act-chop-into-pieces,2149,chop,v,Basic actions and technology,"To chop meat, vegetables etc. into small pieces.",active,,
act-clay,1399,clay,n,Basic actions and technology,"A loose, earthy, extremely fine-grained, natural sediment or soft rock composed primarily of clay-size or colloidal particles and characterized by high plasticity and by a considerable content of clay mineral and subordinate amounts of finely divided quartz, decomposed feldspar, carbonates, ferruginous matter, and other impurities; it forms a plastic, moldable mass when finely ground and mixed with water, retains its shape on drying, and becomes firm, rocklike and permanently hard on heating or firing.",active,,
act-clog,2707,clog,v,Basic actions and technology,To block a fluid or similar from running through a pipe-like object.,active,,
act-close,2063,close,v,Basic actions and technology,Move ones eyelids in such a way that the eyes are no longer visible.,active,,
act-collapse,3986,collapse,v,Basic actions and technology,To fall down suddenly because of pressure or having no strength or support.,active,,
act-compare,3429,compare,v,Basic actions and technology,To estimate something in terms of similar or contrasting features as opposed to the other(s).,active,,
act-continue,3699,continue,v,Basic actions and technology,To carry on with something or to keep existing or happening.,active,,
act-convey,2898,convey,v,Basic actions and technology,To share a message with somebody.,active,,
act-copper,1825,copper,n,Basic actions and technology,"Chemical element with symbol Cu and atomic number 29; one of the most important nonferrous metals; a ductile and malleable metal found in various ores and used in industry, engineering, and the arts in both pure and alloyed form.",active,,
act-cough,3913,cough,n,Basic actions and technology,The act of coughing or the sound of coughing.,active,,
act-crow,2074,crow,v,Basic actions and technology,To utter the characteristic cry of a rooster.,active,,
act-cut,1432,cut,v,Basic actions and technology,"To perform an incision (for example, with a knife).",active,,
act-cut-down,355,cut down,v,Basic actions and technology,To bring down by cutting.,active,,
act-cut-or-hack,3889,cut or hack,v,Basic actions and technology,To perform an incision or chop something.,active,,
act-cut-with-axe,3151,cut,v,Basic actions and technology,"To chop with an axe, e.g. wood in order to use it as firewood.",active,,
act-cut-with-knife,2156,cut,v,Basic actions and technology,To slice or to divide into pieces with help of a knife or a knifelike object.,active,,
act-cut-with-scissors,2155,cut,v,Basic actions and technology,"To divide into pieces with help of scissors, especially things like a rope, a piece of cloth, or a piece of paper.",active,,
act-decrease,2864,decrease,v,Basic actions and technology,To become smaller in number or size.,active,,
act-deliver,2033,deliver,v,Basic actions and technology,To bring or transport something to its destination.,active,,
act-despise,2715,despise,v,Basic actions and technology,To feel a strong dislike for something.,active,,
act-destruction,4115,destruction,n,Basic actions and technology,"The act or process of causing something to be ruined, demolished, or rendered unusable.",active,,
act-dexterous,1824,dexterous,adj,Basic actions and technology,Nimble in the use of the hands or body.,active,,
act-die,2865,die,v,Basic actions and technology,To cease to live due to unforeseen circumstances.,active,,
act-diminish,1184,diminish,v,Basic actions and technology,To make smaller.,active,,
act-dip,3697,dip,v,Basic actions and technology,To put something partially in a liquid for a short time and take it out again.,active,,
act-do,813,do,v,Basic actions and technology,To perform an action.,active,,
act-do-or-make,2575,do or make,v,Basic actions and technology,To do something or to make something.,active,,
act-drag,2030,drag,v,Basic actions and technology,To draw slowly or heavily.,active,,
act-draw,1911,draw,v,Basic actions and technology,"To draw by a physical force causing or tending to cause to approach, adhere, or unite.",active,,
act-drill,3423,drill,n,Basic actions and technology,A power tool designed to create holes by means of rotating the drill bits into hard material.,active,,
act-drop,2866,drop,v,Basic actions and technology,To let something fall down.,active,,
act-dry-in-sun,3364,dry in sun,v,Basic actions and technology,To put something in the sun in order to dry it.,active,,
act-dry-up,1786,dry up,v,Basic actions and technology,"To lose moisture, usually through evaporation or absorption.",active,,
act-dustpan,2051,dustpan,n,Basic actions and technology,"A cleaning utensil, commonly used in combination with a broom or brush.",active,,
act-emerge,1076,emerge,v,Basic actions and technology,To become known or apparent.,active,,
act-encircle,3274,encircle,v,Basic actions and technology,To enclose or cause to be enclosed; to surround; to confine.,active,,
act-endure,833,endure,v,Basic actions and technology,"To allow (something that one dislikes or disagrees with) to continue to exist or occur without interference; accept or undergo, often unwillingly.",active,,
act-envelope,3088,envelope,n,Basic actions and technology,An item to commonly used to package or wrap letters.,active,,
act-escape,1615,escape,v,Basic actions and technology,"To get free, to free oneself.",active,,
act-exchange,2509,exchange,v,Basic actions and technology,To hand out one thing while receiving another thing or to replace one thing with another.,active,,
act-explode,3976,explode,v,Basic actions and technology,To burst violently as a result of internal pressure.,active,,
act-fade,2704,fade,v,Basic actions and technology,Loose color (of cloth or other material).,active,,
act-fail,3861,fail,v,Basic actions and technology,Not succeeding in an endeavour (of persons) or to stop working as intended (of objects).,active,,
act-fan-action,360,fan,v,Basic actions and technology,"To blow air on (something) by means of a fan (hand-held, mechanical or electrical) or otherwise.",active,,
act-fan-object,1971,fan,n,Basic actions and technology,A device for creating a current of air by movement of a surface or surfaces. (WN:360),active,,
act-fasten,1094,fasten,v,Basic actions and technology,"Tighten and close, for example a belt.",active,,
act-feel,2559,feel,v,Basic actions and technology,To sense something by touching its surface.,active,,
act-fight,3880,fight,n,Basic actions and technology,"A hostile encounter, such as a battle or combat.",active,,
act-file,3407,file,n,Basic actions and technology,A hand tool with a long flat metal bar used to re-shape objects.,active,,
act-fire-stick,3016,fire stick,n,Basic actions and technology,Sticks used specifically to set fire to something or to burn.,active,,
act-fishing,2638,fishing,v,Basic actions and technology,To hunt for fishes (general expression).,active,,
act-fishing-with-a-net,2639,fishing,v,Basic actions and technology,To hunt for fishes by using a fishnet.,active,,
act-fix,3074,fix,v,Basic actions and technology,"To restore something by replacing a broken part or putting together what is broken, or to repair a hole in a cloth or wheel.",active,,
act-flail,3057,flail,n,Basic actions and technology,"A manual device used for beating or striking with, consisting of a free-swinging stick attached to a handle.",active,,
act-flatter,2709,flatter,v,Basic actions and technology,To praise somebody openly.,active,,
act-fold,1470,fold,v,Basic actions and technology,To bend a thin material (such as paper) over so that it comes in contact with itself.,active,,
act-foot,2688,foot,n,Basic actions and technology,A unit of length.,active,,
act-forge,288,forge,v,Basic actions and technology,To create and mold by hammering.,active,,
act-get-dizzy,2712,get dizzy,v,Basic actions and technology,Experience an impairment in spatial perception and stability.,active,,
act-get-drunk,3980,get drunk,v,Basic actions and technology,Activity of drinking alcoholic beverages that leads to having an altered conciousness.,active,,
act-get-lost,423,get lost,v,Basic actions and technology,"To end up in an unknown place, to be not to be found again, to get lost, to irrecoverably slip away.",active,,
act-get-up-from-bed,3350,get up from bed,v,Basic actions and technology,To leave one's place of sleeping.,active,,
act-gift,2982,gift,n,Basic actions and technology,A gift or a present is an item given to someone without the expectation of payment or return.,active,,
act-glass,604,glass,n,Basic actions and technology,"A hard, amorphous, inorganic, usually transparent, brittle substance made by fusing silicates, sometimes borates and phosphates, with certain basic oxides and then rapidly cooling to prevent crystallization.",active,,
act-glue,1069,glue,n,Basic actions and technology,Substance used for sticking objects together.,active,,
act-gnaw,2706,gnaw,v,Basic actions and technology,Treat some material with one's teeth.,active,,
act-gold,1369,gold,n,Basic actions and technology,"A heavy yellow elemental metal of great value, with atomic number 79 and symbol Au.",active,,
act-grate,3114,grate,v,Basic actions and technology,To abrade an object by rubbing it against a rough surface.,active,,
act-gridiron,3932,gridiron,n,Basic actions and technology,Wooden grill used to dry or smoke meat or fish,active,,
act-grindstone,2459,grindstone,n,Basic actions and technology,A grindstone is a round sharpening stone used for grinding or sharpening ferrous tools.,active,,
act-halt,2880,halt,v,Basic actions and technology,To halt one’s movement.,active,,
act-hammer,1481,hammer,n,Basic actions and technology,A tool with a heavy head and a handle used for pounding.,active,,
act-hammer-something,3115,hammer,v,Basic actions and technology,Strike or beat something with a hammer.,active,,
act-handle,1254,handle,n,Basic actions and technology,"A part of an object meant to hold that object with (e.g. the handle of a mug, pan or bag).",active,,
act-hang,2884,hang,v,Basic actions and technology,Remain suspended to some point above.,active,,
act-hang-up,357,hang up,v,Basic actions and technology,To put up to hang.,active,,
act-happen,248,happen,v,Basic actions and technology,To come to pass.,active,,
act-hardly,2926,hardly,x,Basic actions and technology,Barely perceivable or noticeable.,active,,
act-have-a-fever,2713,have a fever,v,Basic actions and technology,Have an increased body temperature.,active,,
act-have-diarrhea,2714,have diarrhea,v,Basic actions and technology,Suffering from loose or liquid bowel movements.,active,,
act-heap,2984,heap,n,Basic actions and technology,A collection of things thrown one on another.,active,,
act-herd,2885,herd,v,Basic actions and technology,Keep or move animals together.,active,,
act-hit,1433,hit,v,Basic actions and technology,"To hit against with a sharp blow or to impel, usually with a hand or weapon or to be forcefully or suddenly contacting, e.g. a tree falling down and hitting the ground.",active,,
act-hit-a-target,3307,hit,v,Basic actions and technology,To hit something that someone has aimed for.,active,,
act-hold-or-take,2104,hold or take,v,Basic actions and technology,To grasp something or to carry something in ones hands.,active,,
act-hollow-out,46,hollow out,v,Basic actions and technology,To make a hole in something.,active,,
act-improve,2872,improve,v,Basic actions and technology,"Improvement is the process of a thing moving from one state to a state considered to be better, usually through some action intended to bring about that better state.",active,,
act-increase,1041,increase,v,Basic actions and technology,(Of a quantity) to become bigger.,active,,
act-inhale,2705,inhale,v,Basic actions and technology,"Breathe in some substance (smoke, steam) other than air.",active,,
act-intact,220,intact,adj,Basic actions and technology,"That has not been impaired or altered; lacking nothing essential, especially not damaged.",active,,
act-iron,621,iron,n,Basic actions and technology,"A malleable ductile silvery-white ferromagnetic metallic element with symbol Fe and atomic number 26, occurring principally in haematite and magnetite. It is widely used for structural and engineering purposes.",active,,
act-iron-or-metal,3324,iron or metal,n,Basic actions and technology,A generic way of referring to either the ore or the finished product.,active,,
act-jog,2899,jog,v,Basic actions and technology,To shake something.,active,,
act-knit,2905,knit,v,Basic actions and technology,To create a textile by manipulating yarn with the help of two long needles.,active,,
act-knot,760,knot,n,Basic actions and technology,A loop of string or any other long flexible material which cannot be untied without pulling part of the string through the loops.,active,,
act-lack,2329,lack,v,Basic actions and technology,To lack something or to describe the state when something is not there.,active,,
act-ladder-or-stairs,2689,ladder or stairs,n,Basic actions and technology,Construction consisting of steps designed to bridge vertical distances.,active,,
act-launder,2503,launder,v,Basic actions and technology,To remove dirt from clothes.,active,,
act-lay,2071,lay,v,Basic actions and technology,"To place down in a position of rest, or in a horizontal position.",active,,
act-lay-eggs,2464,lay eggs,v,Basic actions and technology,The process by which birds produce eggs.,active,,
act-lead,627,lead,n,Basic actions and technology,"A heavy toxic bluish-white metallic element with symbol Pb and atomic number 82 that is highly malleable; occurs principally as galena and is used in alloys, accumulators, cable sheaths, paints, and as a radiation shield.",active,,
act-lean,3619,lean,v,Basic actions and technology,To bend or move from a vertical position or to make something do that.,active,,
act-leash,2959,leash,n,Basic actions and technology,A leash is a rope or similar material attached to the neck or head of an animal for restraint or control.,active,,
act-leather-or-hide,3326,leather or hide,n,Basic actions and technology,A generic way of referring to either cured or uncured animal hides.,active,,
act-left-handed,2825,left handed,adj,Basic actions and technology,Preference of using the left hand.,active,,
act-lid,2319,lid,n,Basic actions and technology,The cap of a container.,active,,
act-lighter,3092,lighter,n,Basic actions and technology,Portable instrument for igniting something.,active,,
act-lighthouse,4079,lighthouse,n,Basic actions and technology,"A tall structure, typically on a coast, with a powerful light to guide ships and warn of hazards.",active,,
act-load,1679,load,n,Basic actions and technology,"The weight (materials, products, etc.) to be borne or conveyed.",active,,
act-load-something,3669,load,v,Basic actions and technology,To put a large quantity of things onto something.,active,,
act-loose,2506,loose,adj,Basic actions and technology,Being not tight.,active,,
act-loosen,1933,loosen,v,Basic actions and technology,To make undone or untied ; to free from any fastening.,active,,
act-lost,3667,lost,adj,Basic actions and technology,Not knowing where you are and unable to find the way.,active,,
act-make,734,make,v,Basic actions and technology,To create something by combining or assembling materials or parts or by changing it.,active,,
act-make-dry,2015,make dry,v,Basic actions and technology,To remove the moisture and make dry.,active,,
act-make-noise,2895,make noise,v,Basic actions and technology,To be loud.,active,,
act-manage,3073,manage,v,Basic actions and technology,To watch and direct someone and/or some activity; to be in charge.,active,,
act-massage,3119,massage,v,Basic actions and technology,To rub someone's body with the hands.,active,,
act-mat,195,mat,n,Basic actions and technology,A flat object laid on the floor to protect a person from the hard floor.,active,,
act-menstruate,2827,menstruate,v,Basic actions and technology,Regular natural change in female reproductive system that makes pregnancy possible.,active,,
act-microscope,4016,microscope,n,Basic actions and technology,"An optical instrument for viewing very small objects such as cells, typically magnified several hundred times.",active,,
act-mince,3082,mince,v,Basic actions and technology,"To cut something, especially food, into small pieces.",active,,
act-misplace,3072,misplace,v,Basic actions and technology,To place something in a place where one cannot find it again or in a wrong place; to lose something.,active,,
act-miss-a-target,161,miss,v,Basic actions and technology,"To fail to hit (a target, a bell, etc.).",active,,
act-miss-somebody,2328,miss,v,Basic actions and technology,To long to see somebody again.,active,,
act-moisten,28,moisten,v,Basic actions and technology,To make moist.,active,,
act-mold,289,mold,v,Basic actions and technology,"To create something, usually for a specific function.",active,,
act-mold-get-rotten,3251,mold,n,Basic actions and technology,Discoloration and food caused by fungal species.,active,,
act-mosquito-net,2795,mosquito net,n,Basic actions and technology,A web that keeps mosquitos away.,active,,
act-mould,1166,mould,n,Basic actions and technology,A frame or model around or on which something is formed or shaped.,active,,
act-move-affect-emotionally,2873,move,v,Basic actions and technology,To affect somebody emotionally.,active,,
act-move-away,229,move away,v,Basic actions and technology,To change one's domicile or place of business.,active,,
act-move-oneself,2874,move,v,Basic actions and technology,To get oneself in motion in order to arrive at some other place.,active,,
act-must,971,must,v,Basic actions and technology,To be required to do something.,active,,
act-nail,3306,nail,v,Basic actions and technology,To hammer a nail into something.,active,,
act-nail-tool,502,nail,n,Basic actions and technology,A spike-shaped metal fastener used for joining wood or similar materials.,active,,
act-net,2963,net,n,Basic actions and technology,A grid-like device or object.,active,,
act-net-for-catching,2653,net,n,Basic actions and technology,A grid-like device used for fishing and sports.,active,,
act-netbag,293,netbag,n,Basic actions and technology,Bag made of net used to carry things.,active,,
act-news,2964,news,n,Basic actions and technology,News is information about current events.,active,,
act-noose,2604,noose,n,Basic actions and technology,A loop at the end of a rope.,active,,
act-not-have,3363,not have,v,Basic actions and technology,Not being in possession of something (both abstract and concrete).,active,,
act-notice,2893,notice,v,Basic actions and technology,To become aware of something.,active,,
act-oar,3137,oar,n,Basic actions and technology,"A pole with a blade at one end, and with the other end attached to the boat via an oarlock or thole, used to row or steer a boat.",active,,
act-oar-or-paddle,3318,oar or paddle,n,Basic actions and technology,"Referring to tools used for water-based motion, either connected to the water vehicle or not.",active,,
act-open-eyes,3234,open,v,Basic actions and technology,Move ones eyelids in such a way that the eyes are visible.,active,,
act-open-mouth,3437,open,v,Basic actions and technology,To move one's jaw(s) in a way that the oral cavity becomes partially or fully visible.,active,,
act-open-state,3235,open,adj,Basic actions and technology,To be accessible and/or not closed.,active,,
act-order,1128,order,v,Basic actions and technology,"To order someone or several persons by a superior authority to do something, or to arrange something in a tidy manner.",active,,
act-pack,3656,pack,v,Basic actions and technology,To put something in a container so that it could be carried or transported.,active,,
act-paddle,234,paddle,n,Basic actions and technology,"A pole with a blade at one or both ends, the pole itself being not attached to the boat but held by both hands, used to row or steer a boat.",active,,
act-paint-pigments,647,paint,n,Basic actions and technology,"A mixture of pigment and a vehicle, such as oil or water, that together form a liquid or paste that can be applied to a surface to provide an adherent coating that imparts colour, protects the surface and/or gives the surface different features.",active,,
act-paint-something,3122,paint,v,Basic actions and technology,The act of spreading coloured pigments on a surface.,active,,
act-paint-something-or-painting,3194,paint (something) or painting,v,Basic actions and technology,To apply color to a wall or to make a painting or drawing.,active,,
act-paintbrush,3094,paintbrush,n,Basic actions and technology,Brush used to spread pigments of colour on a surface.,active,,
act-painter,4101,painter,n,Basic actions and technology,"A person who creates visual artworks using paint on surfaces such as canvas, walls, or other materials.",active,,
act-painting,2001,painting,v,Basic actions and technology,To make a painting or drawing.,active,,
act-patch,3550,patch,v,Basic actions and technology,To repair a hole in a cloth or wheel.,active,,
act-pearl,3325,pearl,n,Basic actions and technology,A small hard shiny ball formed in mussels or oysters.,active,,
act-peg,361,peg,n,Basic actions and technology,"A cylindrical wooden, metal etc. object used to fasten or as a bearing between objects.",active,,
act-pick,2148,pick,v,Basic actions and technology,To take off the fruits or other useful parts of a plant.,active,,
act-picture,3303,picture,n,Basic actions and technology,A painted image.,active,,
act-pierce,398,pierce,v,Basic actions and technology,To tab something through something else.,active,,
act-plait-or-braid-or-weave,1729,plait or braid or weave,v,Basic actions and technology,"To add pleats to cloth, to braid together hair, threads, strings, twigs etc. in order to create a larger string-like object or to create a fabric by interlacing threads.",active,,
act-plane,3408,plane,n,Basic actions and technology,A hand tool that is designed to flatten or shape wood.,active,,
act-pliers,4003,pliers,n,Basic actions and technology,A small tool with two handles for holding or pulling small things like nails and for cutting wire.,active,,
act-pocketknife,3742,pocketknife,n,Basic actions and technology,A small knife with one or more blades that fold back into the handle.,active,,
act-polish,3659,polish,v,Basic actions and technology,To make something smooth and shiny by rubbing it with a cloth.,active,,
act-potter,359,potter,n,Basic actions and technology,One who makes pots and other ceramic wares.,active,,
act-pouch,2951,pouch,n,Basic actions and technology,A small bag.,active,,
act-pound,354,pound,v,Basic actions and technology,"To strike hard, usually repeatedly.",active,,
act-pour,1487,pour,v,Basic actions and technology,To cause a liquid to flow into a container.,active,,
act-powerful,3001,powerful,adj,Basic actions and technology,Being done using a huge amount of energy.,active,,
act-prepare,2909,prepare,v,Basic actions and technology,To carry out things in advance to avoid to be later not able to do them.,active,,
act-press,1913,press,v,Basic actions and technology,To apply pressure to an item.,active,,
act-process,3970,process,n,Basic actions and technology,"A systematic and continuous course of actions and changes, which can be goal-directed or spontaneous.",active,,
act-protect,2900,protect,v,Basic actions and technology,To prevent something or somebody from being harmed.,active,,
act-pull,1455,pull,v,Basic actions and technology,"To apply a force to (an object), in order that it moves towards the origin of the force that was applied.",active,,
act-pull-off,291,pull off,v,Basic actions and technology,To strip or pull off the skin or hide of.,active,,
act-pull-out,2325,pull out,v,Basic actions and technology,To pull something out.,active,,
act-pull-up,2066,pull up,v,Basic actions and technology,To pull out rice seedlings from the soil including their roots in order to separate seedlings growing too closely,merged,3548,
act-quickly,3365,quickly,adj,Basic actions and technology,To carry out an action in a quick manner.,active,,
act-raise,2134,raise,v,Basic actions and technology,"To take care of an infant or some other living creature, usually until it can live independently.",active,,
act-rake,3127,rake,v,Basic actions and technology,The act of moving a tool over a surface in order to level or clean it.,active,,
act-recognize,2870,recognize,v,Basic actions and technology,Perceive to see something or someone previously known.,active,,
act-recommend,2759,recommend,v,Basic actions and technology,To suggest something or somebody.,active,,
act-repair,2243,repair,v,Basic actions and technology,To restore something by replacing a broken part or putting together what is broken.,active,,
act-rest-or-sleep,2116,rest or sleep,v,Basic actions and technology,Lie down or sleep.,active,,
act-result,3969,result,n,Basic actions and technology,"The final outcome or consequence of a causal chain, operation or set of circumstances.",active,,
act-ribbon,2969,ribbon,n,Basic actions and technology,"A ribbon is a thin band of material, typically cloth but also plastic or sometimes metal, used primarily as decorative binding and tying.",active,,
act-ring,2875,ring,v,Basic actions and technology,Ring most broadly refers to a hollow circular shape or to a high-pitched sound.,active,,
act-rinse,2904,rinse,v,Basic actions and technology,To clean by pouring water over the objects.,active,,
act-roar,2876,roar,v,Basic actions and technology,A sound emitted by a stormy sea.,active,,
act-rob,2073,rob,v,Basic actions and technology,"To illegally take something from, especially using force or violence.",active,,
act-rope,1218,rope,n,Basic actions and technology,"Thick, strong string made of several strands that have been twisted together.",active,,
act-rot,2907,rot,v,Basic actions and technology,To be exposed to decomposition.,active,,
act-rub,1449,rub,v,Basic actions and technology,To move one's hand or an object over a surface or other object (maintaining constant contact and applying moderate pressure).,active,,
act-rug,292,rug,n,Basic actions and technology,A piece of thick cloth or wool that is smaller than a carpet and is put on the floor as decoration.,active,,
act-ruler,3405,ruler,n,Basic actions and technology,A long flat device that is designed to assist with drawing straight lines or measuring by means of distance markings.,active,,
act-run-away,2142,run away,v,Basic actions and technology,Leave a dangerous situation by moving one's body away from it.,active,,
act-rust,3064,rust,n,Basic actions and technology,"Any of various metallic coatings formed by corrosion, especially after oxidation in presence of water.",active,,
act-rustle,2877,rustle,v,Basic actions and technology,A sound emitted by leaves moving in the trees.,active,,
act-sack,2990,sack,n,Basic actions and technology,A specific bag used to store or carry items.,active,,
act-saddle,3065,saddle,n,Basic actions and technology,"A seat for an animal (especially horse) rider, secured by a girth.",active,,
act-sailor,4050,sailor,n,Basic actions and technology,"A person who works on or operates a boat or ship, especially as a member of a crew at sea.",active,,
act-saw,1948,saw,n,Basic actions and technology,"A tool with a toothed blade used for cutting hard substances, in particular wood or metal.",active,,
act-saw-something,3543,saw,v,Basic actions and technology,To cut something with a saw.,active,,
